#Thu Nov 30 09:13:12 SAST 2023
garret=9|Hrrrr, a shifty god.
leonal,leonals,white\ order=9|The White Order, a potent forrce forr good in this Realm.
maze=9|Hrrmmm. The maze sees all.
sarpedon=9|I know him not.
agenor=9|At yourrrrr service, rrrrr.
broken\ fang=9|Mmmm, I know him not.
rumors,rumour,rumours=9|
thee,thou,you,yourself=9|I am prrroud to have been a memberrrr of the White Orderrrr for all of my life.
maze\ master=9|Hrrmmm. The maze knows all.
buy,deal,deals,sell,trade=9|You may purchase suppliess frrrom me.
c.o.c.,chamber\ of\ commerce,coc=9|Hrrrrmmm, yes. The traderrrs from Ichiba. They drive harrrrd bargains.
escape,freedom=9|Grrrr. The maze does not permit escape, better to enjoy what frrrreedoms one has here.
fuck,fuck\ you=9|Grrrrr.
nergal=9|Grrrrr. Speak not his name.
belisarius=9|Ourrr nobel leader, a legend in hiss own time\!
kay,sir\ kay=9|I know him not.
glaucus=9|Hrrrr, Diomedes has spoken of him as untrustworthy.
red\ ear=9|I know him not.
wastelands,wastes,wilds=9|Hrmmmm. Danoas is the end of the civilised lands. Beyond lie the wilds, deadly to the unprepared traveller.
fangorn=9|Mmmm, I know him not.
gnome,gnomes=9|Grrrrrr. Hrmph. The little folk, always working their darrrk magic beneath the ground.
stenelaus=9|I know him not.
second\ realm=9|The second Rrrrealm was a wild place beforre we brrrought order.
gnoll,gnolls=9|Grrrmmmm. Savages. But worrthy warrriors, noblerrrr than the gnomes.
imogen=9|I have heard of the green sorcerrrress of Ichiba. Little that I have hearrd is good.
pickett,we\ pickett=9|Grrmm, the directorrrr of the Ichiba Chamber Of Commerce. A man a rrreal power in the town.
ichiba=9|Perrhaps our Realms most prrrosperous city, but dirrty and full of thieves, beggarrs and cold hearted merrrchants.
thank\ you,thanks=9|My pleasurrrrre.
aello=9|Rrrr, the messenger goddess, swift of foot.
diomedes=9|He is ourr representative in Ichiba, a good soldier.
mentes=9|Hmm, I know him not.
faerie=9|I do not know.
mnesus=9|Brrrrmm, chieftain of the gnomes. I have heard he has a dozen demons bound by dark sorrrcerry to do his bidding.
rumours=9|The drrruidess Lorelei was banished a year ago for practising her earthly magic in ourrrr town.
scrymgeour=9|I know him not.
greetings,hello,hi,salutations=9|Grrrrrreetings.
dalen=9|I have not heard of it.
third\ realm=9|I have hearrrrd tales of black horses underrr a sunless sky. None come back this way.
asius=9|I know him not.
lorelei=9|She is banished from our lands.
first\ realm=9|Where you arrrre from, yes? I have met few others in my lifetime.
dana=9|Patrrron of our White Order.
three\ eyes=9|I know him not.
hail=9|That city has fallen, darkness has engulfed the wilder half of this Rrrrealm.
stentor=9|A good soldierrr.
quest,quests=9|Betterrrr make sure you arrre properly equipped.
beiweh=9|Hrmmmm, I do not know much of the spring goddess.
aenen=9|Hrrrrr, it is the gloomy lairr of the gnomes, deep underground where they work theirr dark magicks.
bye,farewell,goodbye=9|Au~revoirrrrrr.
gentlemen's\ social\ club,thieves,thieves\ guild=9|There arrrre always those who cannot live within the law.
danaos=9|Ourrr mighty castle, home of the White Order. A bastion of defence forrrr the civilised parts of this Realm.
gate=9|Gates arrre not my business.
wasid=9|The warrr god, not to be trrrifled with.
