#Thu Dec 19 13:27:59 SAST 2024
aello=9|*yghh* The messenger goddess.
aenen=9|Ah, my home Aenen, *ygh* deep beneath the green earth. It is far south of here. You should visit it. Our king Mnesus the Mighty is there.
agenor=9|I an unaware.
asius=9|I an unaware.
beiweh=9|Her blessing on us.
belisarius=9|*Yghhh*. Belisarius, General of the White Order, lord of the leonals. He is in Danaos. He he he, I hear he does like gnomes much.
broken\ fang=9|Eh? The gnoll chieftain is a cunning leader.
buy,deal,deals,sell,trade=9|Heh heh heh. Yes, I will trade with you. What do you need? *yhgk* *yhgk*
bye,farewell,goodbye=9|*ygkh*, farewell.
c.o.c.,chamber\ of\ commerce,coc=9|Ah, heh. The Chamber of Commerce, down the road from here is their offices. The big building. They regulate trade here. *yhhg*. The tariffs are not low.
dalen=9|I an unaware.
danaos=9|North of here is the way to Danaos, the castle of the White Order.
diomedes=9|That leonal abides in the temple of The Lady. He hee heh. No doubt he will be enthusiastic to tell you of his goddess. *yhhgg*
escape,freedom=9|Of course, who does not think of freedom? *yghk*. Count your blessings today I say, let tomorrow look after itself.
faerie=9|I an unaware.
fangorn=9|I an unaware.
first\ realm=9|*hykg*. I have heard there are many people there. Is it crowded? He he he. Here we have fewer, I wager. But the wastelands are full of uncivilised beasts of all descriptions...
fuck,fuck\ you=9|He he he\! *yghh\!* <spits noisily on the floor>
garret=9|An ambivalent god. But then, aren't they all? Heh. *yghh*
gate=9|Heh, I thought you might ask. *hgyh* All I know is that the next Great Gate lies somewhere beyond the city of Hail.
gentlemen's\ social\ club,thieves,thieves\ guild=9|Heh heh heh. Ichiba is a melting pot. Some good, some bad.
glaucus=9|*yghh*. At your service\!
gnoll,gnolls=9|Ah, the gnolls. They have a village near here. Broken Fang is the chieftain.
gnome,gnomes=9|We gnomes where here in the Second Realm before any others. *yghh* I know not how we came here. *hgyh* In the mists of time it was us against what beasts the maze chose to throw against us. More lately, the haughty leonals harass us. *ghgh\!* Our kingdom is small, but we endure. 
greetings,hello,hi,salutations=9|Greetings\!
hail=9|Och. The city of Hail has fallen to the forces of darkness. *yghy*. A sad day. It was in the midst of what is now the called the wastelands.
ichiba=9|*yhhg* Ichiba, the City in the Crater. The hub of trade in this Realm. My current home. *hygk* Sometimes, a challenging place to abide. But one makes the best of it.
imogen=9|*yghk*. The Sorceress in the Tower? I don't trust her. Nothing personal, I just mistrust mysterious mages in towers. he he he.
kay,sir\ kay=9|I have heard that he is some sort of chief brigand amongst the local thieves? He he he he.
lady=9|The iron goddess, followed by the leonals. They claim to be her chosen people.
leonal,leonals,white\ order=9|The leonals and their Order continue to harass us. *ykgh*. There is enmity and mistrust... but few open hostilties yet.
lorelei=9|I an unaware.
maze=9|Heh. What can one say of the Maze? He he he. After all, it is listening...
maze\ master=9|I an unaware.
mentes=9|I an unaware.
mnesus=9|Mnesus the Mighty *yhgh* King of All Gnomes. His throne is in Aenen. A worthy leader, wise and forbearing.
nergal=9|*yhgg* Fate keep the death god far from us.
pickett,we\ pickett=9|The Director of the C.O.C. is seldom away from his desk. *kygh*. He pays mercenaries to run the city. Yet, something has always troubled me, though I cannot put my finger on it.
quest,quests=9|He he he. Is the Maze not dangerous enough already? *yghy* Adventure? You could visit Aenen and see what you find...
red\ ear=9|Heh he he. His shop is at the water front.
rumors,rumour,rumours=9|Hmmm. Silence is golden, I always say\! he he he
sarpedon=9|He was in Aenen, last I heard.
scrymgeour=9|*yghh*. His ale is not bad.
second\ realm=9|Welcome again to this Realm, friends. *yghy* Hope you're not too disappointed, he he he
stentor=9|I an unaware.
thank\ you,thanks=9|The pleasure is mine\! He he heh
thee,thou,you,yourself=9|I am Glaucus. How can I be of service?
third\ realm=9|I know little more than rumours about the next Realm.
three\ eyes=9|I have heard that is the name of the witch doctor in the gnoll village.
wasid=9|The war god, not known for his subtlety. *yghk*
wastelands,wastes,wilds=9|Ah *yghh*. Beyond the civilised parts of the Realm are the wastes. Now that Hail has fallen, few pass that way.
